"Informazioni cronologiche","Sei..","Sei interessato a.. (possibile scelta multipla)","Quanti anni hai?","Qual è il colore dei tuoi occhi?","Qual è il colore dei tuoi capelli?","Quanto sei alto?","Studi?","Se si, frequenti..","Quali sono i tuoi interessi? (possibile scelta multipla)","Cosa è importante per te in una persona? (possibile scelta multipla)","Quanto reputi utile un sito dating?","Per cosa useresti il nostro sito di dating?"
"2020/12/11 8:27:08 PM CET","Maschio","Donne","18 - 25","Castani","Neri","1,61m - 1,80m","Si","Università - Facoltà scientifica","Sport;Serie Tv;Videogiochi;Tecnologia;Informatica;Libri;Natura;Fotografia;Motori","Carattere;Aspetto fisico","10","Relazioni"
"2020/12/11 8:27:43 PM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Anime;Videogiochi;Tecnologia;Viaggi;Informatica","Carattere;Aspetto fisico;Hobby/Passioni","7","Rapporti occasionali"
"2020/12/11 8:27:58 PM CET","Femmina","Donne","26 - 35","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Cinema;Serie Tv;Tecnologia;Viaggi;Informatica;Moda","Carattere","4","Amicizie"
"2020/12/11 8:30:02 PM CET","Maschio","Donne","18 - 25","Neri","Neri","1,61m - 1,80m","Si","Università - Facoltà scientifica","Cinema;Anime;Manga/Fumetti;Serie Tv;Tv;Videogiochi;Tecnologia;Viaggi;Storia;Informatica;Cucina;Motori","Carattere;Hobby/Passioni","5","Relazioni"
"2020/12/11 8:31:25 PM CET","Maschio","Donne","18 - 25","Castani","Neri","1,61m - 1,80m","Si","Università - Facoltà scientifica","Anime;Serie Tv;Videogiochi;Tecnologia;Informatica;Disegno","Carattere;Aspetto fisico","5","Amicizie"
"2020/12/11 8:31:58 PM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,41m - 1,60m","Si","Università - Facoltà scientifica","Musica;Cinema;Serie Tv;Informatica;Fotografia","Carattere","1","Amicizie"
"2020/12/11 8:32:39 PM CET","Femmina","Uomini","18 - 25","Castani","Biondi","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Cinema;Anime;Manga/Fumetti;Serie Tv;Tv;Arte;Teatro;Videogiochi;Tecnologia;Viaggi;Libri;Cucina;Natura;Disegno;Moda","Carattere","7","Relazioni"
"2020/12/11 8:33:10 PM CET","Femmina","Uomini","18 - 25","Castani","Neri","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Anime;Manga/Fumetti;Videogiochi;Tecnologia;Informatica;Libri;Disegno","Carattere;Aspetto fisico;Hobby/Passioni;Altro","2","Amicizie"
"2020/12/11 8:34:58 PM CET","Maschio","Donne","26 - 35","Castani","Neri","1,61m - 1,80m","No","Nessuna delle precedenti","Musica;Cinema;Sport;Calcio;Serie Tv;Tv;Politica;Videogiochi;Tecnologia;Viaggi;Storia;Cucina;Natura;Fotografia;Motori;Moda;Altro","Carattere;Aspetto fisico;Hobby/Passioni","5","Altro"
"2020/12/11 8:35:08 PM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà umanistica","Musica;Cinema;Tv;Arte;Cucina;Fotografia;Disegno;Moda;Altro","Carattere","5","Amicizie"
"2020/12/11 8:35:53 PM CET","Maschio","Donne","26 - 35","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà umanistica","Cinema;Serie Tv;Politica;Videogiochi;Tecnologia;Viaggi;Cucina;Natura;Fotografia;Motori","Carattere;Aspetto fisico;Hobby/Passioni","3","Relazioni"
"2020/12/11 8:36:42 PM CET","Maschio","Donne","36 - 45","Verdi","Castani","1,61m - 1,80m","No","","Musica;Cinema;Sport;Calcio;Serie Tv;Politica;Videogiochi;Tecnologia;Viaggi;Storia;Informatica;Cucina;Natura;Fotografia;Disegno;Motori;Altro","Carattere","6","Altro"
"2020/12/11 8:38:23 PM CET","Maschio","Donne","26 - 35","Castani","Neri","1,61m - 1,80m","No","","Musica;Cinema;Sport;Anime;Manga/Fumetti;Arte;Politica;Tecnologia;Storia;Informatica;Motori","Carattere;Hobby/Passioni","4","Rapporti occasionali"
"2020/12/11 8:38:36 PM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,41m - 1,60m","Si","Università - Facoltà umanistica","Musica;Cinema;Anime;Manga/Fumetti;Serie Tv;Tv;Arte;Videogiochi;Viaggi;Libri;Natura;Disegno","Carattere","2","Altro"
"2020/12/11 8:38:40 PM CET","Maschio","Donne","18 - 25","Castani","Castani","1,81m - 2m","Si","Università - Facoltà scientifica","Musica;Cinema;Sport;Serie Tv;Tecnologia;Informatica;Motori","Carattere;Aspetto fisico","5","Rapporti occasionali"
"2020/12/11 8:39:58 PM CET","Femmina","Uomini","18 - 25","Verdi","Biondi","1,41m - 1,60m","Si","Accademie varie (Artistica etc..)","Musica;Cinema;Arte;Disegno","Carattere","8","Amicizie"
"2020/12/11 8:40:21 PM CET","Maschio","Donne","18 - 25","Castani","Castani","1,81m - 2m","Si","Università - Facoltà scientifica","Cucina;Altro","Carattere","10","Altro"
"2020/12/11 8:41:15 PM CET","Femmina","Uomini","26 - 35","Verdi","Castani","1,41m - 1,60m","No","Nessuna delle precedenti","Serie Tv;Viaggi;Cucina;Natura;Fotografia","Carattere;Hobby/Passioni","7","Amicizie"
"2020/12/11 8:41:21 PM CET","Femmina","Uomini","26 - 35","Verdi","Castani","1,41m - 1,60m","No","Nessuna delle precedenti","Serie Tv;Viaggi;Cucina;Natura;Fotografia","Carattere;Hobby/Passioni","7","Amicizie"
"2020/12/11 8:41:32 PM CET","Femmina","Uomini","26 - 35","Castani","Castani","1,61m - 1,80m","No","","Musica;Cinema;Serie Tv;Viaggi;Libri;Cucina;Fotografia","Carattere","4","Amicizie"
"2020/12/11 8:45:01 PM CET","Femmina","Uomini","26 - 35","Castani","Castani","1,41m - 1,60m","Si","Università - Facoltà umanistica","Musica;Cucina","Carattere","4","Rapporti occasionali"
"2020/12/11 8:47:11 PM CET","Femmina","Donne","26 - 35","Castani","Castani","1,41m - 1,60m","No","Nessuna delle precedenti","Musica;Cinema;Serie Tv;Arte;Teatro;Fotografia;Disegno","Carattere;Aspetto fisico","8","Relazioni"
"2020/12/11 8:48:17 PM CET","Femmina","Uomini","26 - 35","Castani","Neri","1,41m - 1,60m","Si","Università - Facoltà scientifica","Musica;Cinema;Anime;Serie Tv;Viaggi;Libri","Carattere;Hobby/Passioni","1","Rapporti occasionali"
"2020/12/11 8:48:27 PM CET","Maschio","Donne","18 - 25","Verdi","Biondi","1,81m - 2m","Si","Università - Facoltà scientifica","Musica;Sport;Calcio;Serie Tv;Tv;Arte;Politica;Tecnologia;Viaggi;Informatica;Fotografia;Motori;Moda;Altro","Carattere;Aspetto fisico","8","Amicizie"
"2020/12/11 8:50:57 PM CET","Femmina","Uomini","26 - 35","Castani","Castani","1,41m - 1,60m","No","","Musica;Cinema;Serie Tv;Tv;Teatro;Viaggi;Libri;Cucina","Carattere;Aspetto fisico;Hobby/Passioni","7","Relazioni"
"2020/12/11 8:51:19 PM CET","Maschio","Donne","18 - 25","Castani","Neri","1,81m - 2m","Si","Università - Facoltà scientifica","Cinema;Sport;Calcio;Serie Tv;Videogiochi;Motori","Carattere","5","Altro"
"2020/12/11 8:52:55 PM CET","Maschio","Donne","18 - 25","Azzurri","Neri","1,81m - 2m","Si","Università - Facoltà scientifica","Musica;Sport;Serie Tv;Videogiochi;Tecnologia;Informatica;Cucina;Motori","Carattere;Aspetto fisico;Hobby/Passioni","4","Relazioni"
"2020/12/11 8:53:22 PM CET","Maschio","Donne","18 - 25","Castani","Neri","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Manga/Fumetti;Videogiochi;Tecnologia;Viaggi;Informatica;Libri;Cucina;Disegno","Carattere;Aspetto fisico;Hobby/Passioni","5","Relazioni"
"2020/12/11 8:55:08 PM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Cinema;Sport;Calcio;Videogiochi;Tecnologia;Cucina;Motori","Carattere;Aspetto fisico;Altro","5","Altro"
"2020/12/11 8:56:56 PM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Sport;Anime;Videogiochi;Motori","Carattere","1","Rapporti occasionali"
